Key|Name|SortName|Dates|SortWithDates|Role|Epoque||
richardmartin|Richard Martin|Martin, Richard|(flc1610)|Martin, Richard (flc1610)|Composer|Baroque|Martin|Richard Martin (flc1610)
richardmico|Richard Mico|Mico, Richard|(1590-1661)|Mico, Richard (1590-1661)|Composer|Baroque|Mico|Richard Mico (1590-1661)
richardmudge|Richard Mudge|Mudge, Richard|(1718-1763)|Mudge, Richard (1718-1763)|Composer|Classical|Mudge|Richard Mudge (1718-1763)
richardnicholson|Richard Nicholson|Nicholson, Richard|(died 1639)|Nicholson, Richard (died 1639)|Composer|Baroque|Nicholson|Richard Nicholson (died 1639)
richardsmith|Richard Smith|Smith, Richard||Smith, Richard|Composer||Smith|Smith, Richard
richardson|Ferdinando Richardson|Richardson, Ferdinando|(1558-1618)|Richardson, Ferdinando (1558-1618)|Composer|Baroque|Richardson|
richardstorrswillis|Richard Storrs Willis|Willis, Richard Storrs|(1819-1900)|Willis, Richard Storrs (1819-1900)|Composer|Romantic|Willis|Willis, Richard Storrs
richardstrauss|Richard Strauss|Strauss, Richard|(1864-1949)|Strauss, Richard (1864-1949)|Composer|Romantic|Strauss|Strauss, Richard
richardsumarte|Richard Sumarte|Sumarte, Richard|(d. after 1630)|Sumarte, Richard (d. after 1630)|Composer|Baroque|Sumarte|Richard Sumarte (d. after 1630)
richardtognetti|Richard Tognetti|Tognetti, Richard|||Conductor||Tognetti|
richardwagner|Richard Wagner|Wagner, Richard|(1813-1883)|Wagner, Richard (1813-1883)|Composer|Romantic|Wagner|Wagner, Richard
richardwetz|Richard Wetz|Wetz, Richard|(1875-1935)|Wetz, Richard (1875-1935)|Composer|Romantic|Wetz|Richard Wetz (1875-1935)
richter|Ferdinand Tobias Richter|Richter, Ferdinand Tobias|(1651-1711)|Richter, Ferdinand Tobias (1651-1711)|Composer|Baroque|Richter|
richwilliams|Rich Williams|Williams, Rich||Williams, Rich|Composer||Williams|Williams, Rich
rickwright|Rick Wright|Wright, Rick||Wright, Rick|Composer||Wright|Wright, Rick
rickygardiner|Ricky Gardiner|Gardiner, Ricky||Gardiner, Ricky|Composer||Gardiner|Gardiner, Ricky
ridderstolpe|Caroline Ridderstolpe|Ridderstolpe, Caroline|(1793-1878)|Ridderstolpe, Caroline (1793-1878)|Composer|Romantic|Ridderstolpe|
rienvoskuilen|Rien Voskuilen|Voskuilen, Rien|||Conductor||Voskuilen|
ries|Ferdinand Ries|Ries, Ferdinand|(1784-1838)|Ries, Ferdinand (1784-1838)|Composer|Romantic|Ries|
rigatti|Giovanni Antonio Rigatti|Rigatti, Giovanni Antonio|(c1613-1648)|Rigatti, Giovanni Antonio (c1613-1648)|Composer|Baroque|Rigatti|
rigel|Henri-Joseph Rigel|Rigel, Henri-Joseph|(1741-1799)|Rigel, Henri-Joseph (1741-1799)|Composer|Classical|Rigel|
righini|Vincenzo Righini|Righini, Vincenzo|(1756-1812)|Righini, Vincenzo (1756-1812)|Composer|Classical|Righini|
riley|Terry Riley|Riley, Terry|(b1935)|Riley, Terry (b1935)|Composer|20th Century|Riley|
rimskykorsakov|Nikolaï Rimsky-Korsakov|Rimsky-Korsakov, Nikolaï|(1844-1908)|Rimsky-Korsakov, Nikolaï (1844-1908)|Composer|Romantic|Rimsky-Korsakov|
rinck|Christian Heinrich Rinck|Rinck, Christian Heinrich|(1770-1846)|Rinck, Christian Heinrich (1770-1846)|Composer|Romantic|Rinck|
riotte|Philipp Jakob Riotte|Riotte, Philipp Jakob|(1776-1856)|Riotte, Philipp Jakob (1776-1856)|Composer|Romantic|Riotte|
ripa|Alberto Da Ripa|Da Ripa, Alberto|(c. 1500–1551)|Da Ripa, Alberto (c. 1500–1551)|Composer|Renaissance|Ripa|
ripley|Hosea Ripley|Ripley, Hosea|(1849-1932)|Ripley, Hosea (1849-1932)|Composer|Romantic|Ripley|
risset|Jean-Claude Risset|Risset, Jean-Claude|(b1938)|Risset, Jean-Claude (b1938)|Composer|20th Century|Risset|
ristori|Giovanni Alberto Ristori|Ristori, Giovanni Alberto|(1692-1753)|Ristori, Giovanni Alberto (1692-1753)|Composer|Classical|Ristori|
ritter|Christian Ritter|Ritter, Christian|(c1645-c1725)|Ritter, Christian (c1645-c1725)|Composer|Baroque|Ritter|
riven|Riven|Riven||Riven|Composer||Riven|Riven,
riverscuomo|Rivers Cuomo|Cuomo, Rivers||Cuomo, Rivers|Composer||Cuomo|Cuomo, Rivers
rmcgovney|R. McGovney|McGovney, R.||McGovney, R.|Composer||McGovney|McGovney, R.
robbie|Robbie|Robbie||Robbie|Composer||Robbie|Robbie,
robbiemerrill|Robbie Merrill|Merrill, Robbie||Merrill, Robbie|Composer||Merrill|Merrill, Robbie
robbienevil|Robbie Nevil|Nevil, Robbie||Nevil, Robbie|Composer||Nevil|Nevil, Robbie
robbiesteinhardt|Robbie Steinhardt|Steinhardt, Robbie||Steinhardt, Robbie|Composer||Steinhardt|Steinhardt, Robbie
roberday|François Roberday|Roberday, François|(1624-1680)|Roberday, François (1624-1680)|Composer|Baroque|Roberday|
robert|Pierre Robert|Robert, Pierre|(c1618 - 1699)|Robert, Pierre (c1618 - 1699)|Composer|Baroque|Robert|
robertballard|Robert Ballard|Ballard, Robert|(c1525-1588)|Ballard, Robert (c1525-1588)|Composer|Renaissance|Ballard|Ballard, Robert
robertcambert|Robert Cambert|Cambert, Robert|(c1628-1677)|Cambert, Robert (c1628-1677)|Composer|Baroque|Cambert|Robert Cambert (c1628-1677)
robertcarver|Robert Carver|Carver, Robert|(c1485-1570)|Carver, Robert (c1485-1570)|Composer|Renaissance|Carver|Carver, Robert
robertdeleo|Robert DeLeo|DeLeo, Robert||DeLeo, Robert|Composer||DeLeo|DeLeo, Robert
robertdevisee|Robert de Visée|Visée, Robert de|(c1650-1725)|Visée, Robert de (c1650-1725)|Composer|Baroque|Visée|Visée, Robert de
robertdowland|Robert Dowland|Dowland, Robert|(c1591-1641)|Dowland, Robert (c1591-1641)|Composer|Baroque|Dowland|Robert Dowland (c1591-1641)
robertfayrfax|Robert Fayrfax|Fayrfax, Robert|(1464-1521)|Fayrfax, Robert (1464-1521)|Composer|Renaissance|Fayrfax|Fayrfax, Robert
robertfleischman|Robert Fleischman|Fleischman, Robert||Fleischman, Robert|Composer||Fleischman|Fleischman, Robert
robertfuchs|Robert Fuchs|Fuchs, Robert|(1847-1927)|Fuchs, Robert (1847-1927)|Composer|Romantic|Fuchs|Robert Fuchs (1847-1927)
robertfusari|Robert Fusari|Fusari, Robert||Fusari, Robert|Composer||Fusari|Fusari, Robert
robertgpatterson|Robert G. Patterson|Patterson, Robert G.||Patterson, Robert G.|Composer||Patterson|Patterson, Robert G.
roberthacomplaynt|Robert Hacomplaynt|Hacomplaynt, Robert|(1455/6-1528)|Hacomplaynt, Robert (1455/6-1528)|Composer|Renaissance|Hacomplaynt|Hacomplaynt, Robert
roberthollingworth|Robert Hollingworth|Hollingworth, Robert|||Conductor||Hollingworth|
roberthunter|Robert Hunter|Hunter, Robert||Hunter, Robert|Composer||Hunter|Hunter, Robert
robertjohnson|Robert Johnson|Johnson, Robert|(c1470-a1554)|Johnson, Robert (c1470-a1554)|Composer|Renaissance|Johnson|Johnson, Robert
robertjones|Robert Jones|Jones, Robert|(c1577-1617)|Jones, Robert (c1577-1617)|Composer|Renaissance|Jones|Jones, Robert
robertkinkel|Robert Kinkel|Kinkel, Robert||Kinkel, Robert|Composer||Kinkel|Kinkel, Robert
robertlopez|Robert Lopez|Lopez, Robert||Lopez, Robert|Composer||Lopez|Lopez, Robert
robertmoody|Robert Moody|Moody, Robert|||Conductor||Moody|
robertmorton|Robert Morton|Morton, Robert|(c1430-1479)|Morton, Robert (c1430-1479)|Composer|Renaissance|Morton|Morton, Robert
robertramsey|Robert Ramsey|Ramsey, Robert|(1590s-1644)|Ramsey, Robert (1590s-1644)|Composer|Baroque|Ramsey|Robert Ramsey (1590s-1644)
robertschumann|Robert Schumann|Schumann, Robert|(1810-1856)|Schumann, Robert (1810-1856)|Composer|Romantic|Schumann|Schumann, Robert
robertshaw|Robert Shaw|Shaw, Robert|||Conductor||Shaw|
roberttailour|Robert Tailour|Tailour, Robert|(fl1615)|Tailour, Robert (fl1615)|Composer|Baroque|Tailour|Robert Tailour (fl1615)
robertvalentinealsoknownas robertovalentino|Robert Valentine, also known as Roberto Valentino|Valentino, Robert Valentine, also known as Roberto|(c1671-1747)|Valentino, Robert Valentine, also known as Roberto (c1671-1747)|Composer|Baroque|Valentino|Robert Valentine, also known as Roberto Valentino (c1671-1747)
robertvolkmann|Robert Volkmann|Volkmann, Robert|(1815-1883)|Volkmann, Robert (1815-1883)|Composer|Romantic|Volkmann|Robert Volkmann (1815-1883)
robertwells|Robert Wells|Wells, Robert||Wells, Robert|Composer||Wells|Wells, Robert
robertwesterholt|Robert Westerholt|Westerholt, Robert||Westerholt, Robert|Composer||Westerholt|Westerholt, Robert
robertwoodcock|Robert Woodcock|Woodcock, Robert|(c1690 - 1728)|Woodcock, Robert (c1690 - 1728)|Composer|Baroque|Woodcock|Robert Woodcock (c1690 - 1728)
robinpecknold|Robin Pecknold|Pecknold, Robin||Pecknold, Robin|Composer||Pecknold|Pecknold, Robin
robinson|Thomas Robinson|Robinson, Thomas|(1560-1610)|Robinson, Thomas (1560-1610)|Composer|Baroque|Robinson|
robthomas|Rob Thomas|Thomas, Rob||Thomas, Rob|Composer||Thomas|Thomas, Rob
robvanderloo|Rob Van Der Loo|Loo, Rob Van Der||Loo, Rob Van Der|Composer||Loo|Loo, Rob Van Der
roccorodio|Rocco Rodio|Rodio, Rocco|(1535-after 1615)|Rodio, Rocco (1535-after 1615)|Composer|Baroque|Rodio|Rocco Rodio (1535-after 1615)
rochestevengrace|Roche Steven Grace|Grace, Roche Steven||Grace, Roche Steven|Composer||Grace|Grace, Roche Steven
rockygray|Rocky Gray|Gray, Rocky||Gray, Rocky|Composer||Gray|Gray, Rocky
roddybottum|Roddy Bottum|Bottum, Roddy||Bottum, Roddy|Composer||Bottum|Bottum, Roddy
rode|Pierre Rode|Rode, Pierre|(1774-1830)|Rode, Pierre (1774-1830)|Composer|Romantic|Rode|
rodenberg|Rodenberg|Rodenberg||Rodenberg|Composer||Rodenberg|Rodenberg,
rodgervaughan|Rodger Vaughan|Vaughan, Rodger|(1932-2012)|Vaughan, Rodger (1932-2012)|Composer|20th Century|Vaughan|Vaughan, Rodger
rodio|Rocco Rodio|Rodio, Rocco|(1535-after 1615)|Rodio, Rocco (1535-after 1615)|Composer|Baroque|Rodio|
rodneynewton|Rodney Newton|Newton, Rodney||Newton, Rodney|Composer||Newton|Newton, Rodney
rodolphekreutzer|Rodolphe Kreutzer|Kreutzer, Rodolphe|(1766-1831)|Kreutzer, Rodolphe (1766-1831)|Composer|Classical|Kreutzer|Rodolphe Kreutzer (1766-1831)
rodrigo|Joaquín Rodrigo|Rodrigo, Joaquín|(1901-1999)|Rodrigo, Joaquín (1901-1999)|Composer|20th Century|Rodrigo|
roemhildt|Johann Theodor Roemhildt|Roemhildt, Johann Theodor|(1684-1756)|Roemhildt, Johann Theodor (1684-1756)|Composer|Classical|Roemhildt|
rogercapps|Roger Capps|Capps, Roger||Capps, Roger|Composer||Capps|Capps, Roger
rogerlinn|Roger Linn|Linn, Roger||Linn, Roger|Composer||Linn|Linn, Roger
rogernorrington|Roger Norrington|Norrington, Roger|||Conductor||Norrington|
rogertaylor|Roger Taylor|Taylor, Roger||Taylor, Roger|Composer||Taylor|Taylor, Roger
rogerwaters|Roger Waters|Waters, Roger||Waters, Roger|Composer||Waters|Waters, Roger
rognoni|Francesco Rognoni|Rognoni, Francesco|(1585-after 1626)|Rognoni, Francesco (1585-after 1626)|Composer|Baroque|Rognoni|
rohde|Eduard Rohde|Rohde, Eduard|(1828-1883)|Rohde, Eduard (1828-1883)|Composer|Romantic|Rohde|
rolandmarais|Roland Marais|Marais, Roland|(c1685-c1750)|Marais, Roland (c1685-c1750)|Composer|Baroque|Marais|Roland Marais (c1685-c1750)
rolandnavratil|Roland Navratil|Navratil, Roland||Navratil, Roland|Composer||Navratil|Navratil, Roland
rolandwurzer|Roland Wurzer|Wurzer, Roland||Wurzer, Roland|Composer||Wurzer|Wurzer, Roland
rolfschweizer|Rolf Schweizer|Schweizer, Rolf|||Conductor||Schweizer|
rolfsmedvig|Rolf Smedvig|Smedvig, Rolf||Smedvig, Rolf|Composer||Smedvig|Smedvig, Rolf
rolla|Alessandro Rolla|Rolla, Alessandro|(1757-1841)|Rolla, Alessandro (1757-1841)|Composer|Classical|Rolla|
roman|Johan Helmich Roman|Roman, Johan Helmich|(1694-1758)|Roman, Johan Helmich (1694-1758)|Composer|Classical|Roman|
romankofmann|Roman Kofmann|Kofmann, Roman|||Conductor||Kofmann|
romanoantoniopiacentino|Romano Antonio Piacentino|Piacentino, Romano Antonio|(c18th century)|Piacentino, Romano Antonio (c18th century)|Composer|Baroque|Piacentino|Romano Antonio Piacentino (c18th century)
romanushoffstetter|Romanus Hoffstetter|Hoffstetter, Romanus|(1742-1815)|Hoffstetter, Romanus (1742-1815)|Composer|Classical|Hoffstetter|Romanus Hoffstetter (1742-1815)
romanusweichlein [de]|Romanus Weichlein [de]|Weichlein [de], Romanus|(1652-1706)|Weichlein [de], Romanus (1652-1706)|Composer|Baroque|Weichlein [de]|Romanus Weichlein [de] (1652-1706)
romberg|Andreas Romberg|Romberg, Andreas|(1767-1821)|Romberg, Andreas (1767-1821)|Composer|Classical|Romberg|
romeoperahouseorchestra|Rome Opera House Orchestra|Rome Opera House Orchestra|||Orchestra|||
roncalli|Ludovico Roncalli|Roncalli, Ludovico|(1654-1713)|Roncalli, Ludovico (1654-1713)|Composer|Baroque|Roncalli|
ronnievanzant|Ronnie Van Zant|Zant, Ronnie Van||Zant, Ronnie Van|Composer||Zant|Zant, Ronnie Van
rontgen|Julius Röntgen|Röntgen, Julius|(1855-1932)|Röntgen, Julius (1855-1932)|Composer|Romantic|Röntgen|
ronwasserman|Ron Wasserman|Wasserman, Ron||Wasserman, Ron|Composer||Wasserman|Wasserman, Ron
ropartz|Guy Ropartz|Ropartz, Guy|(1864-1955)|Ropartz, Guy (1864-1955)|Composer|Romantic|Ropartz|
roqueceruti|Roque Ceruti|Ceruti, Roque|(c1683-1760)|Ceruti, Roque (c1683-1760)|Composer|Baroque|Ceruti|Roque Ceruti (c1683-1760)
rore|Cypriano de Rore|Rore, Cypriano de|(1515-1565)|Rore, Cypriano de (1515-1565)|Composer|Renaissance|Rore|
rosagiacintabadalla|Rosa Giacinta Badalla|Badalla, Rosa Giacinta|(c1660-c1710)|Badalla, Rosa Giacinta (c1660-c1710)|Composer|Baroque|Badalla|Rosa Giacinta Badalla (c1660-c1710)
rosannascalfimarcello|Rosanna Scalfi Marcello|Marcello, Rosanna Scalfi|(1704 or 1705-after 1742)|Marcello, Rosanna Scalfi (1704 or 1705-after 1742)|Composer|Baroque|Marcello|Rosanna Scalfi Marcello (1704 or 1705-after 1742)
rosas|Juventino Rosas|Rosas, Juventino|(1868-1894)|Rosas, Juventino (1868-1894)|Composer|Romantic|Rosas|
roseingrave|Thomas Roseingrave|Roseingrave, Thomas|(1688-1766)|Roseingrave, Thomas (1688-1766)|Composer|Classical|Roseingrave|
rosenmuller|Johann Rosenmüller|Rosenmüller, Johann|(1619-1684)|Rosenmüller, Johann (1619-1684)|Composer|Baroque|Rosenmüller|
rosetti|Antonio Rosetti|Rosetti, Antonio|(c1750-1792)|Rosetti, Antonio (c1750-1792)|Composer|Classical|Rosetti|
rosier [de]|Carl Rosier [de]|Rosier [de], Carl|(1640-1725)|Rosier [de], Carl (1640-1725)|Composer|Baroque|Rosier [de]|
rosmarin|Mateo Romero, or Mathieu Rosmarin|Rosmarin, Mateo Romero, or Mathieu|(c1575-1647)|Rosmarin, Mateo Romero, or Mathieu (c1575-1647)|Composer|Baroque|Rosmarin|
rosseter|Philip Rosseter|Rosseter, Philip|(c1568-1623)|Rosseter, Philip (c1568-1623)|Composer|Renaissance|Rosseter|
rossi|Camilla de Rossi|Rossi, Camilla de|(fl 1707-1710)|Rossi, Camilla de (fl 1707-1710)|Composer|Baroque|Rossi|
rossini|Gioachino Rossini|Rossini, Gioachino|(1792-1868)|Rossini, Gioachino (1792-1868)|Composer|Romantic|Rossini|
rossvalory|Ross Valory|Valory, Ross||Valory, Ross|Composer||Valory|Valory, Ross
rothe|Johann Christoph Rothe|Rothe, Johann Christoph|(1653-1700)|Rothe, Johann Christoph (1653-1700)|Composer|Baroque|Rothe|
rotterdamphilharmonicorchestra|Rotterdam Philharmonic Orchestra|Rotterdam Philharmonic Orchestra|||Orchestra|||
rousseau|Jean-Jacques Rousseau|Rousseau, Jean-Jacques|(1712-1778)|Rousseau, Jean-Jacques (1712-1778)|Composer|Classical|Rousseau|
roussel|Albert Roussel|Roussel, Albert|(1869-1937)|Roussel, Albert (1869-1937)|Composer|Romantic|Roussel|
roux|Gaspard Le Roux|Le Roux, Gaspard|(c1670-c1706)|Le Roux, Gaspard (c1670-c1706)|Composer|Baroque|Roux|
rovetta|Giovanni Rovetta|Rovetta, Giovanni|(c1596-1668)|Rovetta, Giovanni (c1596-1668)|Composer|Baroque|Rovetta|
rowe [de]|Walter Rowe [de]|Rowe [de], Walter|(c1584-1671)|Rowe [de], Walter (c1584-1671)|Composer|Baroque|Rowe [de]|
"roy""rainy""wainwright"|"Roy ""Rainy"" Wainwright"|"Wainwright, Roy ""Rainy"""||"Wainwright, Roy ""Rainy"""|Composer||Wainwright|"Wainwright, Roy ""Rainy"""
royalconcertgebouworchestra|Royal Concertgebouw Orchestra|Royal Concertgebouw Orchestra|||Orchestra|||
royalliverpoolphilharmonicorchestra|Royal Liverpool Philharmonic Orchestra|Royal Liverpool Philharmonic Orchestra|||Orchestra|||
royalnortherncollegeofmusicsymphonyorchestra|Royal Northern College of Music Symphony Orchestra|Royal Northern College of Music Symphony Orchestra|||Orchestra|||
royalphilharmonicorchestra|Royal Philharmonic Orchestra|Royal Philharmonic Orchestra|||Orchestra|||
royalpromenadeorchestra|Royal Promenade Orchestra|Royal Promenade Orchestra|||Orchestra|||
royalscottishnationalorchestra|Royal Scottish National Orchestra|Royal Scottish National Orchestra|||Orchestra|||
royalstockholmphilharmonicorchestra|Royal Stockholm Philharmonic Orchestra|Royal Stockholm Philharmonic Orchestra|||Orchestra|||
royer|Pancrace Royer|Royer, Pancrace|(1705-1755)|Royer, Pancrace (1705-1755)|Composer|Classical|Royer|
rożycki|Jacek Różycki|Różycki, Jacek|(c1635-1704)|Różycki, Jacek (c1635-1704)|Composer|Baroque|Różycki|
rsilver|R. Silver|Silver, R.||Silver, R.|Composer||Silver|Silver, R.
rubenwijga|Ruben Wijga|Wijga, Ruben||Wijga, Ruben|Composer||Wijga|Wijga, Ruben
rubin|Anna Rubin|Rubin, Anna|(b1946)|Rubin, Anna (b1946)|Composer|20th Century|Rubin|
rubingoldmark|Rubin Goldmark|Goldmark, Rubin|(1872-1936)|Goldmark, Rubin (1872-1936)|Composer|Romantic|Goldmark|Rubin Goldmark (1872-1936)
rubino|Bonaventura Rubino|Rubino, Bonaventura|(c1600-1668)|Rubino, Bonaventura (c1600-1668)|Composer|Baroque|Rubino|
rubinstein|Anton Rubinstein|Rubinstein, Anton|(1829-1894)|Rubinstein, Anton (1829-1894)|Composer|Romantic|Rubinstein|
rudolfkempe|Rudolf Kempe|Kempe, Rudolf|||Conductor||Kempe|
rudolfmauersberger|Rudolf Mauersberger|Mauersberger, Rudolf|||Conductor||Mauersberger|
rudolfsieczyński|Rudolf Sieczyński|Sieczyński, Rudolf|(1879-1952)|Sieczyński, Rudolf (1879-1952)|Composer|Romantic|Sieczyński|Rudolf Sieczyński (1879-1952)
ruffo|Vincenzo Ruffo|Ruffo, Vincenzo|(c1510-1587)|Ruffo, Vincenzo (c1510-1587)|Composer|Renaissance|Ruffo|
rufinatscha|Johann Rufinatscha|Rufinatscha, Johann|(1812-1893)|Rufinatscha, Johann (1812-1893)|Composer|Romantic|Rufinatscha|
ruggeroleoncavallo|Ruggero Leoncavallo|Leoncavallo, Ruggero|(1857-1919)|Leoncavallo, Ruggero (1857-1919)|Composer|Romantic|Leoncavallo|Leoncavallo, Ruggero
ruggieri|Giovanni Maria Ruggieri|Ruggieri, Giovanni Maria|(c1665-c1725)|Ruggieri, Giovanni Maria (c1665-c1725)|Composer|Baroque|Ruggieri|
ruggierofedeli|Ruggiero Fedeli|Fedeli, Ruggiero|(c1655-1722) ([7])|Fedeli, Ruggiero (c1655-1722) ([7])|Composer|Baroque|Fedeli|Ruggiero Fedeli (c1655-1722) ([7])
ruggierogiovannelli|Ruggiero Giovannelli|Giovannelli, Ruggiero|(1560-1625)|Giovannelli, Ruggiero (1560-1625)|Composer|Renaissance|Giovannelli|Giovannelli, Ruggiero
ruggieroricci|Ruggiero Ricci|Ricci, Ruggiero|(1918-2012)|Ricci, Ruggiero (1918-2012)|Composer|20th Century|Ricci|Ricci, Ruggiero
ruggierotrofeo|Ruggiero Trofeo|Trofeo, Ruggiero|(1550-1614)|Trofeo, Ruggiero (1550-1614)|Composer|Baroque|Trofeo|Ruggiero Trofeo (1550-1614)
ruggles|Carl Ruggles|Ruggles, Carl|(1876-1971)|Ruggles, Carl (1876-1971)|Composer|Romantic|Ruggles|
rundfunksinfonieorchesterberlin|Rundfunk-Sinfonieorchester Berlin|Rundfunk-Sinfonieorchester Berlin|||Orchestra|||
runjanin|Josip Runjanin|Runjanin, Josip|(1821-1878)|Runjanin, Josip (1821-1878)|Composer|Romantic|Runjanin|
rupertignazmayr|Rupert Ignaz Mayr|Mayr, Rupert Ignaz|(1646-1712)|Mayr, Rupert Ignaz (1646-1712)|Composer|Baroque|Mayr|Rupert Ignaz Mayr (1646-1712)
ruppe [nl]|Christian Friedrich Ruppe [nl]|Ruppe [nl], Christian Friedrich|(1753-1826)|Ruppe [nl], Christian Friedrich (1753-1826)|Composer|Classical|Ruppe [nl]|
rusca|Claudia Rusca|Rusca, Claudia|(1593-1676)|Rusca, Claudia (1593-1676)|Composer|Baroque|Rusca|
rushtonmoreve|Rushton Moreve|Moreve, Rushton||Moreve, Rushton|Composer||Moreve|Moreve, Rushton
russellali|Russell Ali|Ali, Russell||Ali, Russell|Composer||Ali|Ali, Russell
russelldixon|Russell Dixon|Dixon, Russell||Dixon, Russell|Composer||Dixon|Dixon, Russell
russiancinematographicsymphonyorchestra|Russian Cinematographic Symphony Orchestra|Russian Cinematographic Symphony Orchestra|||Orchestra|||
russianfederationacademicsymphonyorchestra|Russian Federation Academic Symphony Orchestra|Russian Federation Academic Symphony Orchestra|||Orchestra|||
russianphilharmonicorchestra|Russian Philharmonic Orchestra|Russian Philharmonic Orchestra|||Orchestra|||
russolo|Antonio Russolo|Russolo, Antonio|(1877-1942)|Russolo, Antonio (1877-1942)|Composer|Romantic|Russolo|
rust|Giacomo Rust|Rust, Giacomo|(1741-1786)|Rust, Giacomo (1741-1786)|Composer|Classical|Rust|
ruthgipps|Ruth Gipps|Gipps, Ruth|(1921-1999)|Gipps, Ruth (1921-1999)|Composer|20th Century|Gipps|Gipps, Ruth
rutini|Giovanni Marco Rutini|Rutini, Giovanni Marco|(1723-1797)|Rutini, Giovanni Marco (1723-1797)|Composer|Classical|Rutini|
ryan|Ryan|Ryan||Ryan|Composer||Ryan|Ryan,
ryanjordan|Ryan Jordan|Jordan, Ryan||Jordan, Ryan|Composer||Jordan|Jordan, Ryan
ryba|Jakub Jan Ryba|Ryba, Jakub Jan|(1765-1815)|Ryba, Jakub Jan (1765-1815)|Composer|Classical|Ryba|
rychnovsky|Jiří Rychnovský|Rychnovský, Jiří|(1529-1616)|Rychnovský, Jiří (1529-1616)|Composer|Baroque|Rychnovský|
saariaho|Kaija Saariaho|Saariaho, Kaija|(b1952)|Saariaho, Kaija (b1952)|Composer|20th Century|Saariaho|
sabadini|Bernardo Sabadini|Sabadini, Bernardo|(fl from 1662; d. 1718)|Sabadini, Bernardo (fl from 1662; d. 1718)|Composer|Baroque|Sabadini|
sacchini|Antonio Sacchini|Sacchini, Antonio|(1730-1786)|Sacchini, Antonio (1730-1786)|Composer|Classical|Sacchini|
sacco|Salvatore Sacco|Sacco, Salvatore|(1572-1622)|Sacco, Salvatore (1572-1622)|Composer|Baroque|Sacco|
sacerdote|David Sacerdote|Sacerdote, David|(1550-1625)|Sacerdote, David (1550-1625)|Composer|Baroque|Sacerdote|
sacrati|Francesco Sacrati|Sacrati, Francesco|(1605-1650)|Sacrati, Francesco (1605-1650)|Composer|Baroque|Sacrati|
saggione|Giuseppe Fedeli, or Joseph Saggione|Saggione, Giuseppe Fedeli, or Joseph|(c1680-c1745)|Saggione, Giuseppe Fedeli, or Joseph (c1680-c1745)|Composer|Baroque|Saggione|
sagyrbayuly|Kurmangazy Sagyrbayuly|Sagyrbayuly, Kurmangazy|(1823-1896)|Sagyrbayuly, Kurmangazy (1823-1896)|Composer|Romantic|Sagyrbayuly|
sahajticotin|Sahaj Ticotin|Ticotin, Sahaj||Ticotin, Sahaj|Composer||Ticotin|Ticotin, Sahaj
saintecolombe|Monsieur de Sainte-Colombe|Sainte-Colombe, Monsieur de|(c1640-c1700)|Sainte-Colombe, Monsieur de (c1640-c1700)|Composer|Baroque|Sainte-Colombe|
saintgeorges|Joseph Bologne, Chevalier de Saint-Georges|Saint-Georges, Joseph Bologne, Chevalier de|(1745-1799)|Saint-Georges, Joseph Bologne, Chevalier de (1745-1799)|Composer|Classical|Saint-Georges|
saintluc|Jacques de Saint-Luc|Saint-Luc, Jacques de|(1616-1708)|Saint-Luc, Jacques de (1616-1708)|Composer|Baroque|Saint-Luc|
saintpaulchamberorchestra|Saint Paul Chamber Orchestra|Saint Paul Chamber Orchestra|||Orchestra|||
saintsaens|Camille Saint-Saëns|Saint-Saëns, Camille|(1835-1921)|Saint-Saëns, Camille (1835-1921)|Composer|Romantic|Saint-Saëns|
saladin|Louis Saladin|Saladin, Louis|(fl c1670)|Saladin, Louis (fl c1670)|Composer|Baroque|Saladin|
salamonerossi|Salamone Rossi|Rossi, Salamone|(c1570-1630)|Rossi, Salamone (c1570-1630)|Composer|Baroque|Rossi|Salamone Rossi (c1570-1630)
salaverde|Bartolomé de Selma y Salaverde|Salaverde, Bartolomé de Selma y|(c1595-after 1638)|Salaverde, Bartolomé de Selma y (c1595-after 1638)|Composer|Baroque|Salaverde|
salazar|Antonio de Salazar|Salazar, Antonio de|(c1650-1715)|Salazar, Antonio de (c1650-1715)|Composer|Baroque|Salazar|
salieri|Antonio Salieri|Salieri, Antonio|(1750-1825)|Salieri, Antonio (1750-1825)|Composer|Classical|Salieri|
sallinen|Aulis Sallinen|Sallinen, Aulis|(b1935)|Sallinen, Aulis (b1935)|Composer|20th Century|Sallinen|
salomon|Johann Peter Salomon|Salomon, Johann Peter|(1745-1815)|Salomon, Johann Peter (1745-1815)|Composer|Classical|Salomon|
salvatoresacco|Salvatore Sacco|Sacco, Salvatore|(1572-1622)|Sacco, Salvatore (1572-1622)|Composer|Baroque|Sacco|Salvatore Sacco (1572-1622)
salvatorleonardi|Salvator Léonardi|Léonardi, Salvator|(1872-1938)|Léonardi, Salvator (1872-1938)|Composer|Romantic|Léonardi|Salvator Léonardi (1872-1938)
samaras|Spyridon Samaras|Samaras, Spyridon|(1861-1917)|Samaras, Spyridon (1861-1917)|Composer|Romantic|Samaras|
sametz|Steven Sametz|Sametz, Steven|(b1954)|Sametz, Steven (b1954)|Composer|20th Century|Sametz|
sammartini|Giovanni Battista Sammartini|Sammartini, Giovanni Battista|(1700-1775)|Sammartini, Giovanni Battista (1700-1775)|Composer|Classical|Sammartini|
