Key|Name|SortName|Dates|SortWithDates|Role|Epoque||
alexanderdreyschock|Alexander Dreyschock|Dreyschock, Alexander|(1818-1869)|Dreyschock, Alexander (1818-1869)|Composer|Romantic|Dreyschock|Alexander Dreyschock (1818-1869)
alexanderglazunov|Alexander Glazunov|Glazunov, Alexander|(1865-1936)|Glazunov, Alexander (1865-1936)|Composer|Romantic|Glazunov|Glazunov, Alexander
alexandergoedicke|Alexander Goedicke|Goedicke, Alexander|(1887-1957)|Goedicke, Alexander (1887-1957)|Composer|20th Century|Goedicke|Goedicke, Alexander
alexanderkimlange|Alexander Kim Lange|Lange, Alexander Kim||Lange, Alexander Kim|Composer||Lange|Lange, Alexander Kim
alexanderkoshetz|Alexander Koshetz|Koshetz, Alexander|(1875-1944)|Koshetz, Alexander (1875-1944)|Composer|Romantic|Koshetz|Alexander Koshetz (1875-1944)
alexanderkronlund|Alexander Kronlund|Kronlund, Alexander||Kronlund, Alexander|Composer||Kronlund|Kronlund, Alexander
alexanderkrull|Alexander Krull|Krull, Alexander||Krull, Alexander|Composer||Krull|Krull, Alexander
alexandermaasmann|Alexander Maasmann|Maasmann, Alexander|(fl1713)|Maasmann, Alexander (fl1713)|Composer|Baroque|Maasmann|Alexander Maasmann (fl1713)
alexanderreinagle|Alexander Reinagle|Reinagle, Alexander|(1756-1809)|Reinagle, Alexander (1756-1809)|Composer|Classical|Reinagle|Alexander Reinagle (1756-1809)
alexanderscriabin|Alexander Scriabin|Scriabin, Alexander|(1872-1915)|Scriabin, Alexander (1872-1915)|Composer|Romantic|Scriabin|Scriabin, Alexander
alexandervonzemlinsky|Alexander von Zemlinsky|Zemlinsky, Alexander von|(1871-1942)|Zemlinsky, Alexander von (1871-1942)|Composer|Romantic|Zemlinsky|Zemlinsky, Alexander von
alexandredubuque|Alexandre Dubuque|Dubuque, Alexandre|(1812-1898)|Dubuque, Alexandre (1812-1898)|Composer|Romantic|Dubuque|Alexandre Dubuque (1812-1898)
alexandreluigini|Alexandre Luigini|Luigini, Alexandre|(1850-1906)|Luigini, Alexandre (1850-1906)|Composer|Romantic|Luigini|Alexandre Luigini (1850-1906)
alexandrepierrefrancoisboely|Alexandre Pierre François Boëly|Boëly, Alexandre Pierre François|(1785-1858)|Boëly, Alexandre Pierre François (1785-1858)|Composer|Romantic|Boëly|Alexandre Pierre François Boëly (1785-1858)
alexandromarieantoinfridzeri|Alexandro Marie Antoin Fridzeri|Fridzeri, Alexandro Marie Antoin|(1741-1819)|Fridzeri, Alexandro Marie Antoin (1741-1819)|Composer|Classical|Fridzeri|Alexandro Marie Antoin Fridzeri (1741-1819)
alexeykolygin|Alexey Kolygin|Kolygin, Alexey||Kolygin, Alexey|Composer||Kolygin|Kolygin, Alexey
alexeynikolayevichtitov|Alexey Nikolayevich Titov|Titov, Alexey Nikolayevich|(1769-1827)|Titov, Alexey Nikolayevich (1769-1827)|Composer|Classical|Titov|Alexey Nikolayevich Titov (1769-1827)
alexstaropoli|Alex Staropoli|Staropoli, Alex||Staropoli, Alex|Composer||Staropoli|Staropoli, Alex
